[[7, 4, 0], [8, 3, 5], [1, 2, 6]],316,15255600
[[4, 1, 7], [0, 8, 5], [3, 2, 6]],580,4737300
[[7, 6, 1], [4, 5, 2], [8, 0, 3]],616,10673900
[[0, 3, 6], [2, 5, 4], [8, 1, 7]],8306,1299990200
[[2, 0, 7], [3, 1, 6], [4, 8, 5]],770,7639200
[[4, 7, 8], [5, 0, 3], [2, 6, 1]],3016,108923500
[[4, 8, 0], [1, 6, 2], [3, 5, 7]],82,138100
[[7, 8, 5], [4, 1, 6], [0, 3, 2]],3764,186202000
[[6, 4, 7], [2, 0, 1], [8, 5, 3]],503,4979500
[[1, 8, 3], [6, 4, 0], [7, 5, 2]],174,578500
[[0, 2, 5], [8, 1, 7], [4, 6, 3]],1018,14024700
[[1, 4, 5], [8, 2, 3], [6, 7, 0]],1425,27618300
[[6, 0, 8], [1, 5, 3], [4, 2, 7]],359,1843600
[[4, 8, 0], [3, 7, 2], [1, 5, 6]],893,10766800
[[8, 0, 1], [6, 5, 2], [7, 3, 4]],1949,68259600
[[0, 8, 3], [7, 2, 5], [1, 6, 4]],537,3983200
[[8, 1, 7], [3, 2, 6], [5, 0, 4]],525,3574300
[[6, 7, 0], [1, 3, 5], [4, 2, 8]],880,9419700
[[1, 7, 5], [4, 0, 3], [8, 6, 2]],2972,120176100
[[4, 5, 2], [8, 6, 7], [3, 0, 1]],818,8513800
[[8, 0, 1], [2, 3, 7], [4, 5, 6]],1072,15812000
[[5, 3, 6], [7, 1, 0], [4, 8, 2]],409,2096500
[[2, 7, 0], [1, 5, 4], [3, 8, 6]],522,4916200
[[0, 3, 2], [5, 7, 8], [1, 6, 4]],260,1099700
[[1, 2, 6], [3, 8, 7], [0, 4, 5]],156,466400
[[6, 2, 7], [0, 8, 3], [1, 5, 4]],922,10927100
[[1, 7, 3], [5, 8, 0], [6, 4, 2]],1696,36691900
[[1, 7, 5], [4, 6, 2], [3, 0, 8]],704,6581700
[[3, 6, 7], [5, 2, 4], [8, 0, 1]],6617,751081500
[[8, 2, 7], [6, 4, 0], [5, 3, 1]],5729,501955700
[[3, 5, 8], [4, 6, 0], [1, 2, 7]],189,623500
[[3, 6, 7], [8, 2, 4], [1, 0, 5]],2455,77012700
[[6, 5, 0], [4, 8, 3], [1, 2, 7]],425,2585800
[[7, 0, 3], [1, 8, 6], [2, 5, 4]],10093,2358327200
[[4, 8, 7], [0, 6, 2], [1, 5, 3]],230,1793700
[[6, 8, 3], [1, 5, 0], [4, 2, 7]],344,1724900
[[5, 4, 2], [6, 1, 3], [7, 0, 8]],89,240100
[[5, 6, 1], [8, 4, 0], [3, 7, 2]],640,8724700
[[3, 1, 8], [0, 5, 7], [2, 4, 6]],248,1187700
[[6, 8, 1], [0, 7, 3], [5, 2, 4]],825,11239400
[[0, 5, 1], [3, 8, 6], [2, 7, 4]],604,5020600
[[2, 6, 0], [4, 1, 3], [8, 7, 5]],753,15188900
[[1, 2, 4], [5, 7, 0], [6, 8, 3]],219,986200
[[2, 7, 1], [4, 6, 8], [5, 0, 3]],9268,1811988200
[[5, 4, 7], [3, 0, 2], [6, 8, 1]],233,873300
[[5, 1, 7], [6, 0, 3], [8, 2, 4]],822,9876800
[[2, 3, 4], [5, 6, 7], [1, 0, 8]],646,8135300
[[1, 6, 5], [7, 0, 2], [8, 3, 4]],584,4269100
[[5, 4, 6], [0, 2, 7], [8, 3, 1]],12658,5639121100
[[4, 3, 1], [8, 6, 5], [2, 7, 0]],392,2423100
[[5, 7, 1], [8, 6, 2], [3, 4, 0]],804,8159200
[[5, 7, 1], [2, 6, 8], [0, 4, 3]],1589,31364500
[[6, 5, 3], [4, 1, 7], [0, 2, 8]],4479,283848500
[[3, 7, 8], [2, 4, 0], [1, 5, 6]],2625,85284600
[[6, 1, 4], [2, 3, 0], [5, 8, 7]],1516,35855400
[[0, 3, 7], [8, 6, 4], [5, 1, 2]],935,10677600
[[8, 7, 2], [5, 3, 4], [6, 0, 1]],7602,1062807100
[[1, 3, 6], [5, 2, 4], [7, 0, 8]],3824,217309800
[[2, 5, 7], [8, 6, 0], [1, 4, 3]],100,211600
[[7, 3, 8], [1, 5, 0], [4, 2, 6]],389,2127300
[[6, 2, 5], [3, 8, 1], [0, 7, 4]],695,6862500
[[0, 1, 4], [8, 5, 7], [3, 6, 2]],61,114300
[[4, 6, 7], [2, 5, 1], [3, 8, 0]],1961,46978500
[[6, 7, 8], [4, 3, 1], [2, 0, 5]],16702,14162410500
[[1, 0, 2], [8, 3, 7], [6, 4, 5]],556,4482600
[[8, 6, 0], [1, 5, 3], [7, 2, 4]],1139,16367600
[[3, 4, 5], [6, 8, 2], [0, 1, 7]],718,7173600
[[4, 2, 6], [5, 1, 8], [7, 0, 3]],1165,16786400
[[3, 8, 5], [2, 4, 0], [7, 6, 1]],1672,32891800
[[1, 3, 6], [0, 4, 8], [7, 2, 5]],9068,1718017100
[[0, 1, 7], [5, 6, 4], [2, 8, 3]],2671,87749000
[[5, 0, 4], [8, 1, 7], [2, 6, 3]],652,4954100
[[4, 3, 6], [2, 0, 1], [5, 8, 7]],1779,35842600
[[8, 6, 4], [5, 2, 3], [1, 0, 7]],1200,15409400
[[7, 1, 3], [6, 8, 4], [2, 0, 5]],3419,133252100
[[2, 4, 6], [7, 1, 8], [5, 0, 3]],758,6564100
[[3, 8, 6], [5, 0, 7], [2, 4, 1]],7546,808401300
[[0, 8, 6], [4, 3, 2], [1, 5, 7]],493,2849000
[[6, 0, 7], [4, 5, 3], [8, 1, 2]],2267,57372600
[[0, 2, 1], [8, 6, 7], [5, 3, 4]],10598,1855511600
[[3, 1, 0], [2, 6, 5], [4, 8, 7]],297,1322500
[[4, 1, 8], [2, 5, 3], [0, 7, 6]],1893,41096400
[[6, 2, 1], [0, 3, 4], [7, 8, 5]],295,1262200
[[0, 3, 2], [4, 7, 6], [5, 1, 8]],430,2294700
[[2, 6, 3], [4, 8, 1], [5, 7, 0]],1254,18343400
[[5, 6, 0], [3, 1, 2], [4, 7, 8]],1497,24302900
[[8, 2, 6], [0, 1, 7], [3, 5, 4]],6761,706599600
[[4, 5, 2], [3, 1, 8], [6, 7, 0]],130,502900
[[4, 6, 3], [2, 7, 0], [8, 1, 5]],1961,48147400
[[2, 3, 1], [7, 6, 8], [0, 5, 4]],1298,20912600
[[7, 0, 1], [3, 8, 6], [2, 4, 5]],841,9532200
[[1, 0, 5], [4, 6, 8], [3, 7, 2]],205,775000
[[3, 0, 8], [6, 2, 4], [5, 7, 1]],92,188700
[[6, 3, 0], [8, 4, 1], [7, 2, 5]],495,3236300
[[4, 1, 8], [5, 6, 3], [0, 7, 2]],815,8680200
[[8, 1, 5], [3, 6, 4], [2, 7, 0]],1979,46554100
[[7, 3, 1], [2, 4, 8], [0, 5, 6]],327,1602300
[[3, 6, 5], [7, 1, 4], [0, 8, 2]],540,3934300
[[0, 1, 5], [6, 7, 2], [4, 3, 8]],2016,48531900
[[6, 5, 3], [8, 2, 4], [7, 0, 1]],1089,14691800
